Image,Method,Total_Detections,Avg_Conf,TP,FP,GT_Count
01760.png,ITFuse,3,0.5034474432468414,2,1,2
01773.png,ITFuse,2,0.5456681847572327,1,1,1
01779.png,ITFuse,3,0.6197105844815572,2,1,2
01783.png,ITFuse,3,0.5633221864700317,2,1,2
01789.png,ITFuse,3,0.5309433043003082,2,1,2
01803.png,ITFuse,2,0.8399340212345123,2,0,2
01806.png,ITFuse,2,0.863304853439331,2,0,2
01807.png,ITFuse,2,0.8072411715984344,2,0,2
01811.png,ITFuse,2,0.8823404908180237,2,0,2
01828.png,ITFuse,2,0.8346833884716034,2,0,2
01845.png,ITFuse,8,0.4692043960094452,2,6,2
01856.png,ITFuse,7,0.5400476838861193,2,5,2
01861.png,ITFuse,7,0.5062135415417808,2,5,2
01867.png,ITFuse,0,0.0,0,0,0
01899.png,ITFuse,2,0.5671647042036057,1,1,1
01911.png,ITFuse,1,0.7449412941932678,1,0,1
01912.png,ITFuse,3,0.5897018412748972,2,1,2
01913.png,ITFuse,2,0.6623612940311432,2,0,2
01919.png,ITFuse,2,0.5922268629074097,2,0,2
01929.png,ITFuse,3,0.49440037210782367,2,1,2
01937.png,ITFuse,13,0.4129464832636026,7,6,7
01947.png,ITFuse,10,0.4342955738306046,6,4,6
01954.png,ITFuse,13,0.39012025411312395,8,5,8
01963.png,ITFuse,8,0.39805083349347115,6,2,6
01977.png,ITFuse,5,0.4043441116809845,3,2,3
01981.png,ITFuse,2,0.5347041189670563,2,0,2
01985.png,ITFuse,7,0.3967078711305346,3,4,3
01994.png,ITFuse,5,0.6818882882595062,4,1,4
01996.png,ITFuse,4,0.8005926311016083,4,0,4
02002.png,ITFuse,3,0.8363127112388611,3,0,4
02011.png,ITFuse,4,0.7459277510643005,4,0,4
02033.png,ITFuse,3,0.7548629442850748,3,0,3
02045.png,ITFuse,8,0.5884862169623375,6,2,7
02073.png,ITFuse,9,0.6809409426318275,7,2,9
02083.png,ITFuse,8,0.5741307809948921,7,1,8
02090.png,ITFuse,7,0.7452332377433777,7,0,8
02102.png,ITFuse,4,0.27724312990903854,1,3,4
02119.png,ITFuse,6,0.46014246344566345,3,3,6
02120.png,ITFuse,9,0.5768039657009972,9,0,9
02142.png,ITFuse,4,0.49132058024406433,3,1,4
02163.png,ITFuse,4,0.49865664541721344,3,1,3
02180.png,ITFuse,4,0.620286151766777,3,1,4
02195.png,ITFuse,11,0.47893156246705487,10,1,13
02213.png,ITFuse,11,0.7344031659039584,11,0,11
02233.png,ITFuse,5,0.6346865832805634,4,1,5
02236.png,ITFuse,9,0.5572528607315488,7,2,7
02249.png,ITFuse,5,0.7052823066711426,5,0,7
02278.png,ITFuse,5,0.7071129620075226,5,0,6
02296.png,ITFuse,8,0.6454134397208691,7,1,8
02310.png,ITFuse,4,0.6239206120371819,3,1,3
02317.png,ITFuse,9,0.5690917207135094,8,1,8
02322.png,ITFuse,3,0.7545422116915385,3,0,3
02337.png,ITFuse,3,0.5165341099103292,2,1,2
02352.png,ITFuse,2,0.8694718182086945,2,0,2
02369.png,ITFuse,3,0.7852524320284525,3,0,3
02394.png,ITFuse,4,0.6869964748620987,3,1,3
02405.png,ITFuse,4,0.6873438581824303,4,0,4
02440.png,ITFuse,3,0.6397524476051331,3,0,3
02450.png,ITFuse,3,0.6631447076797485,3,0,3
02455.png,ITFuse,5,0.5777523696422577,5,0,6
02464.png,ITFuse,11,0.5009595182808962,8,3,8
02473.png,ITFuse,9,0.5846321218543582,8,1,10
02478.png,ITFuse,10,0.6108444273471832,8,2,8
02486.png,ITFuse,6,0.5506620307763418,5,1,5
02495.png,ITFuse,4,0.521289199590683,2,2,3
02522.png,ITFuse,3,0.44577165444691974,3,0,3
02527.png,ITFuse,1,0.7180463671684265,1,0,1
02530.png,ITFuse,1,0.34314674139022827,1,0,1
02533.png,ITFuse,1,0.2725283205509186,0,1,2
02544.png,ITFuse,1,0.4953848421573639,1,0,2
02556.png,ITFuse,3,0.6231304605801901,3,0,4
02572.png,ITFuse,4,0.49804432690143585,4,0,8
02606.png,ITFuse,5,0.5688115239143372,4,1,5
02611.png,ITFuse,3,0.6930580536524454,3,0,4
02624.png,ITFuse,8,0.5364827364683151,6,2,6
02641.png,ITFuse,5,0.527578204870224,5,0,5
02651.png,ITFuse,1,0.2529280483722687,1,0,2
02658.png,ITFuse,5,0.6577797591686249,4,1,6
02667.png,ITFuse,7,0.5399944143635886,5,2,6
02709.png,ITFuse,8,0.5920345187187195,7,1,10
02720.png,ITFuse,7,0.6251119247504643,5,2,6
02731.png,ITFuse,6,0.6606343736251196,6,0,6
02739.png,ITFuse,3,0.7229886452356974,2,1,2
02754.png,ITFuse,1,0.8657045960426331,1,0,1
02757.png,ITFuse,1,0.8821858167648315,1,0,1
02762.png,ITFuse,2,0.34468477964401245,0,2,0
02778.png,ITFuse,1,0.46089377999305725,0,1,0
02786.png,ITFuse,2,0.6406394094228745,2,0,2
02816.png,ITFuse,6,0.6110868006944656,4,2,4
02821.png,ITFuse,3,0.8791681130727133,3,0,3
02846.png,ITFuse,1,0.8970323801040649,1,0,1
